NAME,DESCRIPTION,ADDRESSPOSTALCODE,ADDRESSSTREETNAME,Lat,Lng,ICON_NAME
AVERBEL CHILD DEVELOPMENT CENTRE PTE LTD,Child Care Services,760742,"742, YISHUN AVENUE 5, #01 - 470, SINGAPORE 760742",1.42972006815634,103.833109448847,onemap-fc-childcare.png
AWWA LTD.,Child Care Services,159053,"20, LENGKOK BAHRU, #02 - 05, SINGAPORE 159053",1.28668026511187,103.813766346615,onemap-fc-childcare.png
BABIES BY-THE-PARK PTE. LTD.,Child Care Services,556912,"22, LI HWAN VIEW, GOLDEN HILL ESTATE, SINGAPORE 556912",1.3546546180534,103.863861129051,onemap-fc-childcare.png
Baby Elk Infant Care Pte Ltd,Child Care Services,569139,"3, ANG MO KIO STREET 62, #01 - 36, LINK@AMK, SINGAPORE 569139",1.38654032627489,103.8447164058,onemap-fc-childcare.png
BABYPLANET MONTESSORI PTE. LTD.,Child Care Services,467961,"22A, KEW DRIVE, SINGAPORE 467961",1.31973066490849,103.952086803047,onemap-fc-childcare.png
BAMBINI CHILDCARE LLP,Child Care Services,598523,"3 Jalan Kakatua, JURONG PARK, SINGAPORE 598523",1.34291908230448,103.767221073884,onemap-fc-childcare.png
BAMBINI MONTESSORI PTE. LTD.,Child Care Services,160131,"131, JALAN BUKIT MERAH, #01 - 1591, SINGAPORE 160131",1.28018941083394,103.828178454613,onemap-fc-childcare.png
BERRY TREE PRESCHOOL PRIVATE LIMITED,Child Care Services,543319,"319C, ANCHORVALE DRIVE, #01 - 66, SINGAPORE 543319",1.3908889933177,103.890634136762,onemap-fc-childcare.png
BERRY TREE PRESCHOOL@SEMBAWANG PRIVATE LIMITED,Child Care Services,750511,"511, CANBERRA ROAD, #03 - 02, SEMBAWANG MART, SINGAPORE 750511",1.45384518348657,103.819543348907,onemap-fc-childcare.png
BERRY TREE@PUNGGOL PTE LTD,Child Care Services,823195,"195C, PUNGGOL ROAD, #01 - 532, THE PERIWINKLE, SINGAPORE 823195",1.40108341985811,103.906766973002,onemap-fc-childcare.png
BESTCARE MONTESSORI PTE LTD,Child Care Services,339771,"45, BOON KENG ROAD, KALLANG COMMUNITY CLUB, SINGAPORE 339771",1.31780290497647,103.862373282501,onemap-fc-childcare.png
BETHANY CHILD CARE CENTRE,Child Care Services,550127,"127, SERANGOON NORTH AVE 1, #01 - 61, SINGAPORE 550127",1.36562822488178,103.871831341604,onemap-fc-childcare.png
BETHANY PRESBYTERIAN CHILD DEVELOPMENT CENTRE,Child Care Services,534965,"364-A, UPPER PAYA LEBAR ROAD, SINGAPORE 534965",1.34832066217587,103.880802521922,onemap-fc-childcare.png
BETHEL CHILD DEVELOPMENT CENTRE,Child Care Services,380111,"111, ALJUNIED CRESCENT, #01 - 110, SINGAPORE 380111",1.32037126192338,103.88402908963,onemap-fc-childcare.png
BETHEL DAY CARE CENTRE,Child Care Services,359110,"12, JALAN LATEH, SINGAPORE 359110",1.34607581746571,103.868832017566,onemap-fc-childcare.png
BETHEL PRESCHOOL,Child Care Services,534514,"476, UPPER SERANGOON ROAD, SINGAPORE 534514",1.34435131897419,103.871087152853,onemap-fc-childcare.png
BETHEL TOTS CENTRE,Child Care Services,380100,"100, ALJUNIED CRESCENT, #01 - 369, SINGAPORE 380100",1.32095901164473,103.884129405116,onemap-fc-childcare.png
BETHLEHEM EDUCARE CENTRE,Child Care Services,520320,"320, TAMPINES STREET 33, #01 - 108, SINGAPORE 520320",1.35070180845857,103.957051869779,onemap-fc-childcare.png
BETHLEHEM EDUCARE CENTRE (YISHUN),Child Care Services,760311,"311, YISHUN RING ROAD, #01 - 1286, SINGAPORE 760311",1.43157505981328,103.840815318018,onemap-fc-childcare.png
BETWEEN TWO TREES (CLARKE QUAY) PTE LTD,Child Care Services,059608,"11, KENG CHEOW STREET, #01 - 01, RIVERSIDE PIAZZA, SINGAPORE 059608",1.28852634863223,103.843960029654,onemap-fc-childcare.png
BETWEEN TWO TREES PRESCHOOL,Child Care Services,277375,"7, MING TECK PARK, SINGAPORE 277375",1.3180595036204,103.786943319941,onemap-fc-childcare.png
BIG FOOT PRE SCHOOL LLP,Child Care Services,127375,"196, WEST COAST ROAD, SINGAPORE 127375",1.30868319084019,103.761410142163,onemap-fc-childcare.png
BLEU CASTLE LLP,Child Care Services,348469,"45, MACPHERSON ROAD, #01 - 01, SENNETT ESTATE, SINGAPORE 348469",1.32865621248796,103.870310681117,onemap-fc-childcare.png
BLOOM EDUCARE PTE LTD,Child Care Services,486880,"769, Upper Changi Road East, SINGAPORE 486880",1.34687706808417,103.96268476613,onemap-fc-childcare.png
BLOOMBERRY BABIES & KIDS PTE. LTD.,Child Care Services,159345,"1, JALAN KILANG BARAT, #01 - 02, ONE@REDHILL CENTRE, SINGAPORE 159345",1.28492937795421,103.80852096043,onemap-fc-childcare.png
BLOSSOM BLISSPARKLE CENTRE PTE LTD,Child Care Services,129040,"60, FABER TERRACE, FABER HILLS, SINGAPORE 129040",1.32167881359172,103.757399125571,onemap-fc-childcare.png
CALROSE ACADEMY PTE. LTD.,Child Care Services,737853,"11, WOODLANDS CLOSE, #01 - 29/30, WOODLANDS 11, SINGAPORE 737853",1.43475840112514,103.802721060087,onemap-fc-childcare.png
CAMBERLEY INTERNATIONAL PRE-SCHOOL PRIVATE LIMITED,Child Care Services,549405,"16, FLOWER ROAD, SINGAPORE 549405",1.36018931795235,103.880970648176,onemap-fc-childcare.png
CAMBERLEY INTERNATIONAL PRE-SCHOOL PRIVATE LIMITED,Child Care Services,509575,"14, JALAN CHELAGI, BUKIT LOYANG ESTATE, SINGAPORE 509575",1.36102192014655,103.964952166985,onemap-fc-childcare.png
3-IN-1 FAMILY CENTRE,Child Care Services,520205,"205, TAMPINES STREET 21, #01 - 1281, SINGAPORE 520205",1.35171764385442,103.951963094346,onemap-fc-childcare.png
A STAR CHILDCARE PTE. LTD.,Child Care Services,555859,"55, SERANGOON NORTH AVE 4, #01 - 08-10, S9, SINGAPORE 555859",1.37699716359911,103.874737540993,onemap-fc-childcare.png
AAYTOZEE @ HILLVIEW PTE LTD,Child Care Services,668947,"2, JALAN DERMAWAN, SINGAPORE 668947",1.3588496143868,103.761904473803,onemap-fc-childcare.png
Aaytozee Learning Cove Pte Ltd,Child Care Services,669915,"21, CHU LIN ROAD, BAMBOO GROVE PARK, SINGAPORE 669915",1.35752639569991,103.760075736829,onemap-fc-childcare.png
abc children's place,Child Care Services,520878,"878, TAMPINES AVENUE 8, #01 - 308, SINGAPORE 520878",1.35221186530537,103.931382260515,onemap-fc-childcare.png
ACADEMY KIDZ INC PTE. LTD.,Child Care Services,469004,"750D, CHAI CHEE ROAD, #01 - 01, TECHNOPARK @ CHAI CHEE, SINGAPORE 469004",1.32261197289834,103.92087645805,onemap-fc-childcare.png
ACE @ WORK CHILDCARE PTE LTD,Child Care Services,680703,"703, CHOA CHU KANG STREET 53, #01 - 54, SINGAPORE 680703",1.39131766700979,103.745930764203,onemap-fc-childcare.png
ACE @ WORK EDUCARE PTE LTD,Child Care Services,609915,"9, INTERNATIONAL BUSINESS PARK, MIWORLD, SINGAPORE 609915",1.32480019689786,103.750270958915,onemap-fc-childcare.png
ACE @ WORK EDUCARE PTE LTD,Child Care Services,602288,"288B, JURONG EAST STREET 21, #01 - 378, SINGAPORE 602288",1.33893637239716,103.742880869077,onemap-fc-childcare.png
ACE @ WORK ENRICHMENT PTE LTD,Child Care Services,680757,"757, Choa Chu Kang North 5, #01 - 121/7, SINGAPORE 680757",1.39284800785415,103.74591415964,onemap-fc-childcare.png
ACE@WORK CHILDCARE PTE LTD,Child Care Services,679675,"105, CASHEW ROAD, #01 - 01, CASHEW HEIGHTS CONDOMINIUM, SINGAPORE 679675",1.37346486923426,103.76750951362,onemap-fc-childcare.png
ACEKIDZ @ COMMUNITY,Child Care Services,129605,"2, CLEMENTI WEST ST 2, #03 - 06, WEST COAST COMMUNITY CENTRE, SINGAPORE 129605",1.30264555979077,103.764832077473,onemap-fc-childcare.png
