NAME,DESCRIPTION,ADDRESSPOSTALCODE,ADDRESSSTREETNAME,Lat,Lng,ICON_NAME
PCF Sparkletots Preschool @ Yio Chu Kang Blk 644 (KN),Kindergartens,560644,644 Ang Mo Kio Ave 4  #01-850 S(560644),1.37914986025815,103.840938202791,school.gif
PCF Sparkletots Preschool @ Yuhua Blk 251 (KN),Kindergartens,600251,251 Jurong East Street 24 Blk 247 #01-110 S(600251),1.3431658462769,103.739676495164,school.gif
PCF Sparkletots Preschool @ Yuhua Blk 317 (KN),Kindergartens,600317,317 Jurong East Street 31  #01-14 S(600317),1.3465496871593,103.730965105747,school.gif
PCF Sparkletots Preschool @ Zhenghua Blk 455A (KN),Kindergartens,671455,455A Segar Road  #01-01 S(671455),1.38756735469633,103.771212196176,school.gif
PCF Sparkletots Preschool @ Zhenghua Blk 528 (KN),Kindergartens,670528,"528 Jelapang Road Blk 526, 532 #01-79 S(670528)",1.3850490792297,103.765543454608,school.gif
PCF Sparkletots Preschool @ Zhenghua Blk 620 (KN),Kindergartens,670620,"620 Bukit Panjang Ring Road Blk 615, 619 #01-828 S(670620)",1.38585557651557,103.761737463992,school.gif
PCF SPARKLETOTS PRESCHOOL@KOLAM AYER BLK 8 (DS),Kindergartens,380008,"8, UPPER BOON KENG ROAD, #01 - 03, MULTI STOREY CAR PARK, SINGAPORE 380008",1.31270729273679,103.870690589283,school.gif
Pearlbank Montessori Kindergarten,Kindergartens,118643,302 Pasir Panjang Road   S(118643),1.28750745504731,103.779791668869,school.gif
Pentecost Methodist Church Kindergarten,Kindergartens,519420,4 Pasir Ris Drive 6   S(519420),1.37125662209935,103.95714981437,school.gif
Pibos Garden Preschool,Kindergartens,299574,1 Dunearn Close   S(299574),1.32366004578561,103.814594827163,school.gif
Pink Tower Montessori,Kindergartens,423731,252 Tembeling Road  #01-07 S(423731),1.30646586299788,103.905318259837,school.gif
Putra - Putri Kindergarten,Kindergartens,730408,408 Woodlands Street 41   S(730408),1.42885252458878,103.772369187339,school.gif
Quayside Isle Preparatory School,Kindergartens,098375,31 Ocean Way  #01-17 S(098375),1.2477586231673,103.84192109147,school.gif
Queenstown Good Shepherd Kindergarten,Kindergartens,149454,2 Dundee Road   S(149454),1.29508500074892,103.80731736948,school.gif
Raffles Montessori Kindergarten (Aljunied),Kindergartens,388375,46 Lorong 23 Geylang Fansida Building #04-46C S(388375),1.31522653397246,103.88144706752,school.gif
Raffles Montessori Kindergarten (Still Road),Kindergartens,425080,105 Lorong Stangee   S(425080),1.30984715854568,103.907760970253,school.gif
Ramakrishna Mission Sarada Kindergarten,Kindergartens,539784,179 Bartley Road   S(539784),1.34372407111213,103.879498778206,school.gif
Repton Schoolhouse,Kindergartens,159971,321 Alexandra Road   #03-11   S(159971),1.28747707518844,103.805253386065,school.gif
Repton Schoolhouse Bukit Timah,Kindergartens,289758,"70 Bukit Tinggi Road, The Institution of Engineers, Singapore 289758",1.34517787844111,103.790537164744,school.gif
Ripples Montessori Kindergarten,Kindergartens,488676,10 Jalan Pari Burong Picardy Garden  S(488676),1.33354282355609,103.948154514457,school.gif
Riverlife Kindergarten,Kindergartens,509026,6 Loyang Besar Close   S(509026),1.37836825105585,103.957785396157,school.gif
Seeds D' Learning House,Kindergartens,423731,252 Tembeling Road  #02-07 S(423731),1.30646586299788,103.905318259837,school.gif
