school_name,address,postal_code,sap_ind,gifted_ind,Lat,Lng
ADMIRALTY PRIMARY SCHOOL,11   WOODLANDS CIRCLE,738907,No,No,1.4426347903311,103.800040119743
AHMAD IBRAHIM PRIMARY SCHOOL,10   YISHUN STREET 11,768643,No,No,1.43341408412245,103.832750468895
AI TONG SCHOOL,100  Bright Hill Drive,579646,Yes,No,1.3605834338904,103.833020333986
ALEXANDRA PRIMARY SCHOOL,2A   Prince Charles Crescent,159016,No,No,1.29116965570463,103.824017403629
ANCHOR GREEN PRIMARY SCHOOL,31   Anchorvale Drive,544969,No,No,1.39054394024591,103.887111138358
ANDERSON PRIMARY SCHOOL,19   ANG MO KIO AVE 9,569785,No,No,1.38426429436736,103.841392081119
ANG MO KIO PRIMARY SCHOOL,20   ANG MO KIO AVENUE 3,569920,No,No,1.36870363392975,103.839705325534
ANGLO-CHINESE SCHOOL (JUNIOR),16   WINSTEDT ROAD,227988,No,No,1.30900345657234,103.84185340188
ANGLO-CHINESE SCHOOL (PRIMARY),50   BARKER ROAD,309918,No,Yes,1.31871860621788,103.83534516884
ANGSANA PRIMARY SCHOOL,3    Tampines Street 22,529366,No,No,1.34846568919477,103.951577056231
BEACON PRIMARY SCHOOL,36   Bukit Panjang Ring Road,679944,No,No,1.38424146547316,103.773868475891
BEDOK GREEN PRIMARY SCHOOL,1    BEDOK SOUTH AVE 2,469317,No,No,1.32399627990304,103.937745023577
BENDEMEER PRIMARY SCHOOL,91   BENDEMEER ROAD,339948,No,No,1.3225449659487,103.864715966512
BLANGAH RISE PRIMARY SCHOOL,91   TELOK BLANGAH HEIGHTS,109100,No,No,1.27671535398442,103.809208632292
BOON LAY GARDEN PRIMARY SCHOOL,20   BOON LAY DRIVE,649930,No,No,1.34317853793318,103.713280889452
BUKIT PANJANG PRIMARY SCHOOL,109  CASHEW ROAD,679676,No,No,1.37362179302436,103.769374904025
BUKIT TIMAH PRIMARY SCHOOL,111  Lorong Kismis,598112,No,No,1.33751860013147,103.767243310781
BUKIT VIEW PRIMARY SCHOOL,18   BUKIT BATOK STREET 21,659634,No,No,1.34625469092492,103.753303575677
CANBERRA PRIMARY SCHOOL,21   ADMIRALTY DRIVE,757714,No,No,1.45125024371543,103.815858858929
CANOSSA CATHOLIC PRIMARY SCHOOL,1    Sallim Road,387621,No,No,1.32685351993336,103.881002098815
CANTONMENT PRIMARY SCHOOL,1    Cantonment Close,088256,No,No,1.27546534984202,103.840041087946
CASUARINA PRIMARY SCHOOL,30   PASIR RIS ST 41,518935,No,No,1.37310773436801,103.957112275692
CEDAR PRIMARY SCHOOL,15   CEDAR AVENUE,349700,No,No,1.3353165382378,103.875528272142
CHANGKAT PRIMARY SCHOOL,11   SIMEI ST 3,529896,No,No,1.33997334692002,103.952273949753
CHIJ (KATONG) PRIMARY,17   MARTIA ROAD,424821,No,No,1.30664965374234,103.911104935556
CHIJ (KELLOCK),1    Bukit Teresa Road,099757,No,No,1.27474048872023,103.827954007978
CHIJ OUR LADY OF GOOD COUNSEL,2C   Burghley Drive,558979,No,No,1.35799494859112,103.864152052213
CHIJ OUR LADY OF THE NATIVITY,1257 UPPER SERANGOON ROAD,534793,No,No,1.37357409699145,103.897768958127
CHIJ OUR LADY QUEEN OF PEACE,4    Chestnut Drive,679287,No,No,1.366603668561,103.767412204602
CHIJ PRIMARY (TOA PAYOH),628  Lorong 1 Toa Payoh,319765,No,No,1.33275263726147,103.841847268953
CHONGFU SCHOOL,170  YISHUN AVENUE 6,768959,No,No,1.43839562897006,103.839309173817
CHONGZHENG PRIMARY SCHOOL,1    TAMPINES STREET 21,529392,No,No,1.35070739237744,103.951399541868
CHUA CHU KANG PRIMARY SCHOOL,20   CHOA CHU KANG AVENUE 2,689905,No,No,1.37760828302593,103.741270440945
CLEMENTI PRIMARY SCHOOL,8    CLEMENTI AVE 3,129903,No,No,1.31505731320501,103.762966674996
COMPASSVALE PRIMARY SCHOOL,21   COMPASSVALE ST,545091,No,No,1.39444529636566,103.897812229905
