NAME,DESCRIPTION,ADDRESSPOSTALCODE,ADDRESSSTREETNAME,HYPERLINK,LANDXADDRESSPOINT,LANDYADDRESSPOINT,Lat,Lng,ICON_NAME
Jurong Central Park,Fitness corner or stations and fitness equipment or exercise station Grand lawn Jogging path or running track Playground Restroom/Toilets with or without shower facilities Event lawn,0,Jalan Boon Lay junction with Boon Lay Way,http://www.nparks.gov.sg/cms/index.php?option=com_visitorsguide&task=parks&id=68&Itemid=73,14004.46381,35513.45479,1.33744234943084,103.707560608773,relaxsg.png
Kallang Riverside Park,Toilets Shelters Pergola,0,"Kallang Road, Stadium Link and Crawford Street",http://www.nparks.gov.sg/cms/index.php?option=com_visitorsguide&task=parks&id=19&Itemid=73,32144.68012,32140.24946,1.30693923866198,103.87056049486,relaxsg.png
Kent Ridge Park,Drinking fountain Toilets World War II Memorial Plaque Shelters Pond Nature trail Multi purpose court or corner Mountain bike trail Look out points Fitness corner or stations and fitness equipment or exercise station Canopy walk,0,"Vigilante Drive off South Buona Vista Road. Access via Vigilante Drive, Science Park Drive and Pepys",http://www.nparks.gov.sg/cms/index.php?option=com_visitorsguide&task=parks&id=20&Itemid=73,23243.17879,29602.9724,1.28399291462346,103.790576671122,relaxsg.png
MacRitchie Reservoir Park,Drinking fountain Toilets Event lawn Shelters Nature trail Jogging path or running track Fitness corner or stations and fitness equipment or exercise station Food and beverage area or restaurant or café Benches,0,Along Lornie Road,http://www.nparks.gov.sg/cms/index.php?option=com_visitorsguide&task=parks&id=49&Itemid=73,28140.56344,36031.34305,1.34212918999281,103.834581625671,relaxsg.png
Mount Faber Park,Souvenir kiosk Shelters Nature trail Look out points Food and beverage area or restaurant or café Cable car station Benches Toilets,0,Junction of Kampong Bahru Road and Telok Blangah Road,http://www.nparks.gov.sg/cms/index.php?option=com_visitorsguide&task=parks&id=23&Itemid=73,26133.78,28566.53,1.27461999759555,103.81654991866,relaxsg.png
Pasir Ris Town Park,Childrens play equipment Fitness corner/stations and fitness equipment/exercise station Foot reflexology footpath,0,"Along Pasir Ris Central, Opposite Pasir Ris MRT Station",http://www.nparks.gov.sg/cms/index.php?option=com_visitorsguide&task=parks&id=27&Itemid=73,41300.17,39225.16,1.37100993221343,103.952829935951,relaxsg.png
Kranji Resevoir Park,Drinking fountain Toilets Shelters Benches,0,Along Kranji Way,http://www.nparks.gov.sg/cms/index.php?option=com_visitorsguide&task=parks&id=86&Itemid=73,17399.50614,46756.58231,1.43912240406581,103.738062920547,relaxsg.png
Punggol Park,"Barbecue pits, BYOP, Children's play equipment, Food and beverage area or restaurant or café Fitness, corner, or, stations, and, fitness, equipment, or, exercise, station Jogging, path, or, running, track Pond Shelters",0,Junction of Hougang Avenue 8 and 10,http://www.nparks.gov.sg/cms/index.php?option=com_visitorsguide&task=parks&id=30&Itemid=73,35238.02885,39871.53514,1.37685762600501,103.898357537222,relaxsg.png
Punggol Waterway Park,Sand play area Fitness corner or stations and fitness equipment exercise station Children's play equipment,0,Along Sentul Crescent Road,http://www.nparks.gov.sg/cms/index.php?option=com_visitorsguide&task=parks&id=95&Itemid=73,36174.05848,43270.17692,1.40759345169017,103.906769391189,relaxsg.png
Singapore Botanic Gardens,Singapore Botanic Gardens,0,1 Cluny Road,http://www.nparks.gov.sg/cms/index.php?option=com_visitorsguide&task=parks&id=33&Itemid=73,26100.49454,32594.56689,1.31104814401096,103.816250592959,relaxsg.png
Sun Plaza Park,Sand play area Skate and bicycle kiosk Shelters Jogging path or running track Fitness corner or stations and fitness equipment or exercise station Beach ball court Amphitheatre Sense discovery garden Taichi corner 12 fairways Woodball Course Drinking fountain,0,"Tampines Avenue 7, Tampines Avenue 9",http://www.nparks.gov.sg/cms/index.php?option=com_visitorsguide&task=parks&id=34&Itemid=73,40291.96,37902.64,1.35904999327401,103.943769927974,relaxsg.png
Telok Blangah Hill Park,Drinking fountain Toilets Event lawn Shelters Nature trail Multi purpose court  or corner Foot reflexology footpath Fitness corner or stations and fitness equipment or exercise station Childrens play equipment Benches Activity plaza,0,Telok Blangah Green off Henderson Road,http://www.nparks.gov.sg/cms/index.php?option=com_visitorsguide&task=parks&id=36&Itemid=73,25726.46,28996.66,1.27850991577097,103.812889970772,relaxsg.png
Tiong Bahru Park,Drinking fountain Pond pavilion Foot reflexology footpath Fitness corner or stations and fitness equipment or exercise station,0,"Bounded by Henderson Rd, Tiong Bahru Road and Lower Delta Road",http://www.nparks.gov.sg/cms/index.php?option=com_visitorsguide&task=parks&id=37&Itemid=73,27000.75,30000.68,1.28758998642009,103.824339911913,relaxsg.png
West Coast Park,Benches Barbecue pits Bicycle obstacle course Children's play equipment Cycling track Dog run corner Exercise garden including a chess garden foot reflexology facilities and bird cage trellis Food and beverage area or restaurant or cafe Fitness corneror stations and fitness equipment or exercise station Grand lawn Jogging path or running track Marsh garden Pond Playground Pergola Promenade Restroom or Toilets with or without shower facilities Shelters Sand play area Taichi corner Health and fitness activities Children's playground Event lawn Toilets,0,Parallel to West Coast Highway,http://www.nparks.gov.sg/cms/index.php?option=com_visitorsguide&task=parks&id=41&Itemid=73,20323.21389,30787.25586,1.29470257378826,103.764339360788,relaxsg.png
Woodlands Town Garden,Amphitheatre  Pond Playground Restroom or Toilets with or without shower facilities Shelters,0,Woodlands Centre Road adjacent to Bukit Timah Expressway,http://www.nparks.gov.sg/cms/index.php?option=com_visitorsguide&task=parks&id=42&Itemid=73,20974.75,46611.33,1.43780991829926,103.770189953625,relaxsg.png
Raffles Place Park,NA,0,The park is bounded by Battery Road and Collyer Quay. It can also be accessed from D'Almeida Street.,http://www.nparks.gov.sg/cms/index.php?option=com_visitorsguide&task=parks&id=31&Itemid=73,30031.23,29599.3,1.28395999707562,103.851569980422,relaxsg.png
Tanjong Pagar RICOH Park,NA,0,above the Tanjong Pagar MRT station,http://www.nparks.gov.sg/cms/index.php?option=com_visitorsguide&task=parks&id=35&Itemid=73,29379.06,28778.83,1.27653998950279,103.84570994079,relaxsg.png
The Southern Ridges,NA,0,"33 Hyderabad Road, Off Alexandra Road",http://www.nparks.gov.sg/cms/index.php?option=com_visitorsguide&task=parks&id=62&Itemid=73,24829.90973,29147.83319,1.27987699576942,103.804834115967,relaxsg.png
War Memorial Park,NA,0,"Bounded by Nicoll Highway, Stamford Road, Beach Road and Bras Basah Road",http://www.nparks.gov.sg/cms/index.php?option=com_visitorsguide&task=parks&id=40&Itemid=73,30391.8,30578.99,1.29281994347687,103.854809917854,relaxsg.png
Youth Olympic Park,NA,0,Raffles Avenue. Junction of Raffles Avenue and Bayfront Bridge,http://www.nparks.gov.sg/cms/index.php?option=com_visitorsguide&task=parks&id=88&Itemid=73,31016.65508,30162.84384,1.28905640983157,103.860424466038,relaxsg.png
Dairy Farm Nature Park,NA,0,100 Dairy Farm Road,http://www.nparks.gov.sg/cms/index.php?option=com_visitorsguide&task=parks&id=85&Itemid=73,21238.77253,38211.524300000005,1.36184520256297,103.77256440438,relaxsg.png
Fort Canning Park,Hotel Carpark Drinking fountain Toilets Shelters Fitness corner or stations and fitness equipment or exercise station Food and beverage area or restaurant or café Benches,0,"Fort Canning Park is bounded by Hill Street, Canning Rise, Clemenceau Avenue and River Valley Road.",http://www.nparks.gov.sg/cms/index.php?option=com_visitorsguide&task=parks&id=16&Itemid=73,29428.02,30796.82,1.29478998022519,103.846149955401,relaxsg.png
Zhenghua Park,Cycling track Fitness corner or stations and fitness equipment or exercise station Jogging path or running track Playground Shelters,0,"Bounded by Bt Timah Expressway (BKE), BKE Slip Road to Kranji Expressway (KJE) & Dairy Farm Road",http://www.nparks.gov.sg/cms/index.php?option=com_visitorsguide&task=parks&id=44&Itemid=73,21875.82702,38887.837100000004,1.36796166979209,103.778288626402,relaxsg.png
Admiralty Park,Carpark Toilets Shelters Nature trail Fitness corner or stations and fitness equipment or exercise station Food and beverage area or restaurant or café Cycling track Amphitheatre Boardwalk,0,Riverside Road,http://www.nparks.gov.sg/cms/index.php?option=com_visitorsguide&task=parks&id=3&Itemid=73,22557.25308,47130.55897,1.44250598657498,103.784410161154,relaxsg.png
Bedok Town Park,Childrens play equipment Campsites Fitness corner or stations and fitness equipment or exercise station Foot reflexology footpath Jogging path or running track  Shelters,0,"Bedok North Ave 3. Bounded by Bedok North Road, Bedok North Avenue 3 and the Pan Island Expressway",http://www.nparks.gov.sg/cms/index.php?option=com_visitorsguide&task=parks&id=7&Itemid=73,38361.16777,35321.4926,1.33570778020343,103.926419620306,relaxsg.png
Esplanade Park,NA,0,"Along Connaught Drive, opposite Padang and City Hall",http://www.nparks.gov.sg/cms/index.php?option=com_visitorsguide&task=parks&id=15&Itemid=73,30267.96612,30208.0457,1.28946526299345,103.853697191036,relaxsg.png
Pearl's Hill City Park,NA,0,Pearl's Hill Terrace,http://www.nparks.gov.sg/cms/index.php?option=com_visitorsguide&task=parks&id=28&Itemid=73,28735.54318,29666.07986,1.28456398795321,103.839927726147,relaxsg.png
Sengkang Riverside Park,NA,0,Anchorvale Street abutting Sungei Punggol,http://www.nparks.gov.sg/cms/index.php?option=com_visitorsguide&task=parks&id=84&Itemid=73,34065.61718,42377.87737,1.39952434256296,103.887823087054,relaxsg.png
Bukit Batok Town Park,NA,0,Bukit Batok East Ave 5,http://www.nparks.gov.sg/cms/index.php?option=com_visitorsguide&task=parks&id=10&Itemid=73,19345.22273,37710.7838,1.35731619603088,103.755549740756,relaxsg.png
Hort Park - The Gardening Hub,Children's playground Food and beverage area or restaurant or cafe,0,"33 Hyderabad Road, Off Alexandra Road",http://www.nparks.gov.sg/cms/index.php?option=com_visitorsguide&task=parks&id=17&Itemid=73,24267.30361,29033.10179,1.27883934383816,103.799778900848,relaxsg.png
One-North Park,East plaza Hilltop plaza North plaza Shelters Water wall Wifi-services,0,"The 3.3 hectare site is situated in the northern zone of one-north, near the Ministry of Education",http://www.nparks.gov.sg/cms/index.php?option=com_visitorsguide&task=parks&id=25&Itemid=73,23265.2385,31759.00625,1.30349132523025,103.790774561262,relaxsg.png
Lower Seletar Reservoir Park,Fitness corner or stations and fitness equipment or exercise station Fishing jetty Jogging path or running track People's Association Water Venture,0,Bounded by Yishun Ave 1 and Lentor Avenue,http://www.nparks.gov.sg/cms/index.php?option=com_visitorsguide&task=parks&id=21&Itemid=73,27928.93,43567.11,1.41027997110614,103.832679953733,relaxsg.png
Tampines Eco Green,Bird Hides Shelters  Nature trail Jogging path or running track Viewing Platforms Eco Toilets,0,"Tampines Eco Green, Tampines Avenue 9 and Tampines Avenue 12",http://www.nparks.gov.sg/cms/index.php?option=com_visitorsguide&task=parks&id=93&Itemid=73,40796.80481,38426.65153,1.36378874386203,103.948306509181,relaxsg.png
Woodlands Waterfront Park,Multi generational Playground Picnic Lawns Scenic Trails Carpark Toilets Event lawn Shelters Look out points Fitness corner or stations and fitness equipment or exercise station Cycling track,0,Admiralty Road West,http://www.nparks.gov.sg/cms/index.php?option=com_visitorsguide&task=parks&id=90&Itemid=73,22059.39656,48270.35201,1.45281375479174,103.779936192483,relaxsg.png
Ang Mo Kio Town Garden East,Shelters Fitness corner or stations and fitness equipment or exercise station Exercise garden including a chess garden a foot reflexology facilities and bird cage trellis Childrens play equipment Benches,0,"Junction of Ang Mo Kio Ave 3 and 8, behind Ang Mo Kio MRT Station",http://www.nparks.gov.sg/cms/index.php?option=com_visitorsguide&task=parks&id=4&Itemid=73,29927.44624,39182.34814,1.37062569450189,103.850638044559,relaxsg.png
Bedok Reservoir Park,Cycling track Childrens play equipment Bicycle rack Benches Fitness corner or stations and fitness equipment or exercise station Fishing jetty Jogging path or running track Peoples Association Water Venture Restroom  or Toilets with or without shower facilities Shelters Event lawn Drinking fountain,0,Along Bedok Reservoir Road,http://www.nparks.gov.sg/cms/index.php?option=com_visitorsguide&task=parks&id=6&Itemid=73,37991.700000000004,36070.31,1.34247993498722,103.923099989145,relaxsg.png
Choa Chu Kang Park,Amphitheatre Benches Bicycle rack Childrens play equipment Food and beverage area or restaurant or cafe Fitness corner or stations and fitness equipment or exercise station Jogging path or running track Multi-purpose court or corner Restroom or Toilets with or without shower facilities,0,Beside Kranji Expressway and along Choa Chu Kang Drive,http://www.nparks.gov.sg/cms/index.php?option=com_visitorsguide&task=parks&id=12&Itemid=73,18415.16807,41074.62598,1.38773726324862,103.747191509026,relaxsg.png
East Coast Park,Xtreme SkatePark at East Coast Event lawn Health and fitness activities Wifi services Water sports centre Tennis courts Taichi corner Sand play area Skate and bicycle kiosk Restroom or Toilets with or without shower facilities Peoples Association Water Venture Pond Kite flying corner Jogging path or running track Holiday chalets Hawker centre Grand lawn Fishing jetty Foot reflexology footpath Fitness corner or stations and fitness equipment or exercise station Food and beverage area or restaurant or cafe Cycling track BYOP Bicycle rack Barbecue pi,0,Along East Coast Parkway and East Coast Park Service Road,http://www.nparks.gov.sg/cms/index.php?option=com_visitorsguide&task=parks&id=14&Itemid=73,37714.21221,31723.4734,1.30316881869849,103.920605223548,relaxsg.png
Sembawang Park,Barbecue pits Children's play equipment Fitness corneror stations and fitness equipmentor exercise station Foot reflexology footpath Restroom or Toilets with or without shower facilities,0,At the end of Sembawang,http://www.nparks.gov.sg/cms/index.php?option=com_visitorsguide&task=parks&id=32&Itemid=73,28351.81,49195.37,1.46117991360611,103.836479962334,relaxsg.png
Toa Payoh Town Park,Foot reflexology footpath Food and beverage area or restaurant or café Benches Jogging path or running track Pond Pavilions with or without stage Shelters Toilets,0,Junction of Toa Payoh Lor 2 and Toa Payoh Lor 6,http://www.nparks.gov.sg/cms/index.php?option=com_visitorsguide&task=parks&id=38&Itemid=73,29682.850000000002,34758.72,1.33061999175521,103.848439927934,relaxsg.png
Yishun Park,Toilets Multi purpose court  or corner Jogging path or running track Fitness corner or stations and fitness equipment or exercise station Cycling track Children's play equipment Amphitheatre,0,"Bounded by Yishun Ave 4, Yishun Central, Yishun Ave 11 and Yishun Ring Road",http://www.nparks.gov.sg/cms/index.php?option=com_visitorsguide&task=parks&id=43&Itemid=73,29037.33,45133.96,1.42444997838205,103.842639933641,relaxsg.png
Ang Mo Kio Town Garden West,Foot reflexology footpath Fitness corner or stations and fitness equipment or exercise station Food and beverage area or restaurant or cafe Benches Amphitheatre Jogging path or running track Pond Shelters Taichi corner Event lawn,0,"Opposite Ang Mo Kio Town Library, along Ang Mo Kio Avenue 6",http://www.nparks.gov.sg/cms/index.php?option=com_visitorsguide&task=parks&id=5&Itemid=73,29043.82578,39568.25524,1.37411574486118,103.842698104705,relaxsg.png
Bishan - Ang Mo Kio Park,Carpark Toilets Event lawn Childrens playground Health and fitness activities Playground Foot reflexology footpath Fitness corner or stations and fitness equipment or exercise station Food and beverage area or restaurant or cafe Dog run corner,0,Along Ang Mo Kio Ave 1,http://www.nparks.gov.sg/cms/index.php?option=com_visitorsguide&task=parks&id=8&Itemid=73,28528.51637,38491.87026,1.36438131796883,103.838067659861,relaxsg.png
Bukit Batok Nature Park,Fitness corner or stations and fitness equipment or exercise station Foot reflexology footpath  Jogging path or running track  Look out points  Playground Restroom  or Toilets with or without shower facilities Shelters World War II Memorial Plaque,0,"Bukit Batok East Ave 2, Bukit Batok East Ave 6, Lorong Sesuai",http://www.nparks.gov.sg/cms/index.php?option=com_visitorsguide&task=parks&id=9&Itemid=73,20336.13829,36926.1642,1.35022065247615,103.764453961566,relaxsg.png
Changi Beach Park,Food and beverage area or restaurant or cafe Cycling track Childrens play equipment BYOP Barbecue pits Fitness corner or stations and fitness equipment or exercise station Jogging path or running track Playground Restroom or Toilets with or without shower facilities Skate and bicycle kiosk Sand play area World War II Memorial Plaque Event lawn Drinking fountain,0,Along Nicoll Drive and Changi Coast Road,http://www.nparks.gov.sg/cms/index.php?option=com_visitorsguide&task=parks&id=11&Itemid=73,45771.52686,41402.76561,1.39070098366513,103.993009436743,relaxsg.png
Clementi Woods Park,Amphitheatre Food and beverage area or restaurant or cafe Fitness corner or stations and fitness equipment or exercise station Foot reflexology footpath Playground Restroom or Toilets with or without shower facilities Shelters Viewing tower,0,"Clementi Road next to Kent Vale, along West Coast Road next to Ginza Plaza",http://www.nparks.gov.sg/cms/index.php?option=com_visitorsguide&task=parks&id=13&Itemid=73,20665.2071,31364.59963,1.2999239459116,103.767412179965,relaxsg.png
Dhoby Ghaut Green,Event lawn Food and beverage area or restaurant or café Amphitheatre Activity plaza,0,"Adjacent to Dhoby Ghaut MRT Station, opposite the Park Mall Shopping Centre",http://www.nparks.gov.sg/cms/index.php?option=com_visitorsguide&task=parks&id=87&Itemid=73,29402.72914,31191.96319,1.29836351740273,103.845922723404,relaxsg.png
