NAME,DESCRIPTION,BLK_HOUSE,STR_NAME,UNIT_NO,POSTCODE,Lat,Lng,ICON_NAME
LI LI CHENG SUPERMARKET (PUNGGOL) PTE. LTD.,NE12I65N000,273C,PUNGGOL PLACE,884,823273,1.40230300615945,103.901262393433,supermarketlogo.jpg
SHENG SIONG SUPERMARKET PTE LTD,E73010V000,11,UPPER BOON KENG ROAD,901,380011,1.31423937057047,103.870914035563,supermarketlogo.jpg
COLD STORAGE SINGAPORE (1983) PTE LTD,NE11909C000,683,HOUGANG AVENUE 8,903,530683,1.3733212172841,103.886365538231,supermarketlogo.jpg
COLD STORAGE SINGAPORE (1983) PTE LTD,S02210X000,631,BEDOK RESERVOIR ROAD,954,470631,1.3329587272309,103.914941831132,supermarketlogo.jpg
YES SUPERMARKET PTE LTD,S02037J000,201B,TAMPINES STREET 21,1091,522201,1.35345315592225,103.953009921086,supermarketlogo.jpg
SUZYAMEER FROZEN PTE. LTD.,NE08357A000,201D,TAMPINES STREET 21,1161,524201,1.35226231253931,103.95358649775,supermarketlogo.jpg
G8 MART PTE. LTD.,CE13401C000,421,ANG MO KIO AVENUE 10,1161,560421,1.36538421638439,103.852966963093,supermarketlogo.jpg
SHENG SIONG SUPERMARKET PTE LTD,CE04334P000,233,ANG MO KIO AVENUE 3,1168,560233,1.36754924783084,103.83674063794,supermarketlogo.jpg
PRIME SUPERMARKET (1996) PTE LTD,S02059X000,106,HOUGANG AVENUE 1,1213,530106,1.35370296933733,103.890680794853,supermarketlogo.jpg
TAN KWEE ENG,B02041C000,327,YISHUN RING ROAD,1320,760327,1.43007109706807,103.842396448241,supermarketlogo.jpg
SHENG SIONG SUPERMARKET PTE LTD,B02015J000,122,ANG MO KIO AVENUE 3,1753,560122,1.3701886043625,103.843413241014,supermarketlogo.jpg
KAI SOON SUPERMARKET PTE. LTD.,W03223N000,780,YISHUN RING ROAD,3546,760780,1.42213865028433,103.832882666076,supermarketlogo.jpg
COLD STORAGE SINGAPORE (1983) PTE LTD,NW08141P000,41,SUNSET WAY,01A,597071,1.32325040085144,103.767260053848,supermarketlogo.jpg
THE FISHWIVES PTE. LTD.,W02430L000,501,BUKIT TIMAH ROAD,05B,259760,1.32257317593847,103.814245545298,supermarketlogo.jpg
PRIME SUPERMARKET LIMITED,SE04040C000,1,UPPER ALJUNIED LANE,1,360001,1.33429241375195,103.87874621482,supermarketlogo.jpg
ABEDIN TRADING PTE. LTD.,SE15464L000,599,GEYLANG ROAD,1,389538,1.31420654866153,103.886699759329,supermarketlogo.jpg
COLD STORAGE SINGAPORE (1983) PTE LTD,SE07216L000,5,STADIUM WALK,1,397693,1.30222178109552,103.876152670397,supermarketlogo.jpg
COLD STORAGE SINGAPORE (1983) PTE LTD,W02074L000,238,THOMSON ROAD,28/29,307683,1.32021101601675,103.843656771807,supermarketlogo.jpg
SONG FISH DEALER PTE LTD,NW17069X000,17,PETIR ROAD,3,678278,1.37834971351323,103.762741183479,supermarketlogo.jpg
THE SEAFOOD MARKET PLACE (BY SONG FISH) PTE. LTD.,NW18310J000,676,WOODLANDS DRIVE 71,4,730676,1.43991607901426,103.800701205041,supermarketlogo.jpg
SHENG SIONG SUPERMARKET PTE LTD,CE12096L000,1,JALAN BERSEH,3/22,209037,1.30778510070706,103.857010987509,supermarketlogo.jpg
COLD STORAGE SINGAPORE (1983) PTE LTD,W02073N000,163,TANGLIN ROAD,2/3,247933,1.30484344487426,103.823852799187,supermarketlogo.jpg
BLUEWATER SEAFOOD PTE. LTD.,CE18D64L000,8D,DEMPSEY ROAD,1,249672,1.30344597442988,103.80938167216,supermarketlogo.jpg
WONS BUTCHERY PTE. LTD.,CE18G34E000,1,ST. MARTIN'S DRIVE,1,257988,1.30570970646179,103.824463823195,supermarketlogo.jpg
LITTLE FARMS PTE. LTD.,CE18I13C000,3,LORONG LIPUT,4,277725,1.31064350283582,103.795246166645,supermarketlogo.jpg
B & S MINI MART PTE. LTD.,CE14Q85A000,310,GEYLANG ROAD,NA,389349,1.31245104539871,103.87962231543,supermarketlogo.jpg
"CHEE MIN KUAN, SIMON",SE14965K000,342,TANJONG KATONG ROAD,NA,437112,1.30373373435466,103.896498243508,supermarketlogo.jpg
JSJ CORPORATION PTE. LTD.,SE17345J000,31A,TANAH MERAH COAST ROAD,1,498720,1.31845201086353,103.985869406123,supermarketlogo.jpg
U STARS PTE. LTD.,NE04092A000,625,ELIAS ROAD,302,510625,1.37860238037503,103.941978177656,supermarketlogo.jpg
LOTTE MART PTE. LTD.,SW06806E000,17,LORONG KILAT,2,598139,1.34082661486743,103.774213263461,supermarketlogo.jpg
AJMAL TRADING GROUP PTE. LTD.,SW16B52K000,5,JALAN PAPAN,32,619396,1.32210836314021,103.727480745718,supermarketlogo.jpg
MURUGAN TRADERS PTE LTD,SW18B79P000,9,TRACTOR ROAD,NA,627970,1.32491980413317,103.705099705855,supermarketlogo.jpg
SHENG SIONG SUPERMARKET PTE LTD,SW18A30L000,440,BUKIT BATOK WEST AVENUE 8,10,650440,1.35572307607651,103.739303106346,supermarketlogo.jpg
SHENG SIONG SUPERMARKET PTE LTD,NW18649C000,785E,WOODLANDS RISE,1,735785,1.44680413155135,103.80548757912,supermarketlogo.jpg
AJMAL TRADING GROUP PTE. LTD.,NW15489B000,2,WOODLANDS SECTOR 2,5,737723,1.46152554782754,103.809438952915,supermarketlogo.jpg
SHENG SIONG SUPERMARKET PTE LTD,NW18478E000,675,YISHUN AVENUE 4,10,760675,1.42015550315781,103.843558892177,supermarketlogo.jpg
